organization_id,entity_id,field_name,field_type,field_value_text,field_value_number,field_value_boolean,field_value_date,field_value_json,smart_code,smart_code_status,ai_confidence,ai_insights,validation_status,created_at,updated_at,version
378f24fb-d496-4ff7-8afa-ea34895a0eb8,003bc8a1-008f-4288-aa80-555bba6a4d28,birthday,date,,,,,null,HERA.SALON.CUSTOMER.DYN.BIRTHDAY.v1,DRAFT,0.0000,"{""validation_errors"": {""missing_fields"": {""entity_id"": false, ""field_name"": false, ""smart_code"": false, ""organization_id"": false}}}",invalid,2025-10-28 11:10:53.381966+00,2025-10-28 11:10:53.381966+00,1
378f24fb-d496-4ff7-8afa-ea34895a0eb8,003bc8a1-008f-4288-aa80-555bba6a4d28,email,text,jelenailil@ouhook.com,,,,null,HERA.SALON.CUSTOMER.DYN.EMAIL.v1,DRAFT,0.0000,"{""validation_errors"": {""missing_fields"": {""entity_id"": false, ""field_name"": false, ""smart_code"": false, ""organization_id"": false}}}",invalid,2025-10-28 11:10:53.381966+00,2025-10-28 11:10:53.381966+00,1
378f24fb-d496-4ff7-8afa-ea34895a0eb8,003bc8a1-008f-4288-aa80-555bba6a4d28,loyalty_points,number,,0.00000000,,,null,HERA.SALON.CUSTOMER.DYN.LOYALTY.POINTS.v1,DRAFT,0.0000,"{""validation_errors"": {""missing_fields"": {""entity_id"": false, ""field_name"": false, ""smart_code"": false, ""organization_id"": false}}}",invalid,2025-10-28 11:10:53.381966+00,2025-10-28 11:10:53.381966+00,1
378f24fb-d496-4ff7-8afa-ea34895a0eb8,003bc8a1-008f-4288-aa80-555bba6a4d28,notes,text,,,,,null,HERA.SALON.CUSTOMER.DYN.NOTES.v1,DRAFT,0.0000,"{""validation_errors"": {""missing_fields"": {""entity_id"": false, ""field_name"": false, ""smart_code"": false, ""organization_id"": false}}}",invalid,2025-10-28 11:10:53.381966+00,2025-10-28 11:10:53.381966+00,1
378f24fb-d496-4ff7-8afa-ea34895a0eb8,003bc8a1-008f-4288-aa80-555bba6a4d28,phone,text,,,,,null,HERA.SALON.CUSTOMER.DYN.PHONE.v1,DRAFT,0.0000,"{""validation_errors"": {""missing_fields"": {""entity_id"": false, ""field_name"": false, ""smart_code"": false, ""organization_id"": false}}}",invalid,2025-10-28 11:10:53.381966+00,2025-10-28 11:10:53.381966+00,1
378f24fb-d496-4ff7-8afa-ea34895a0eb8,003bc8a1-008f-4288-aa80-555bba6a4d28,vip,boolean,,,f,,null,HERA.SALON.CUSTOMER.DYN.VIP.v1,DRAFT,0.0000,"{""validation_errors"": {""missing_fields"": {""entity_id"": false, ""field_name"": false, ""smart_code"": false, ""organization_id"": false}}}",invalid,2025-10-28 11:10:53.381966+00,2025-10-28 11:10:53.381966+00,1
378f24fb-d496-4ff7-8afa-ea34895a0eb8,006c914c-37c0-4cb2-ad7d-d19f0a57cf1b,active,boolean,,,t,,,HERA.SALON.SERVICE.DYN.ACTIVE.v1,DRAFT,0.0000,"{""validation_errors"": {""missing_fields"": {""entity_id"": false, ""field_name"": false, ""smart_code"": false, ""organization_id"": false}}}",invalid,2025-10-19 18:42:53.642824+00,2025-10-19 18:42:53.642824+00,1
378f24fb-d496-4ff7-8afa-ea34895a0eb8,006c914c-37c0-4cb2-ad7d-d19f0a57cf1b,commission_rate,number,,0.50000000,,,,HERA.SALON.SERVICE.DYN.COMMISSION.v1,DRAFT,0.0000,"{""validation_errors"": {""missing_fields"": {""entity_id"": false, ""field_name"": false, ""smart_code"": false, ""organization_id"": false}}}",invalid,2025-10-19 18:42:53.642824+00,2025-10-19 18:42:53.642824+00,1
378f24fb-d496-4ff7-8afa-ea34895a0eb8,006c914c-37c0-4cb2-ad7d-d19f0a57cf1b,description,text,,,,,,HERA.SALON.SERVICE.DYN.DESCRIPTION.v1,DRAFT,0.0000,"{""validation_errors"": {""missing_fields"": {""entity_id"": false, ""field_name"": false, ""smart_code"": false, ""organization_id"": false}}}",invalid,2025-10-19 18:42:53.642824+00,2025-10-19 18:42:53.642824+00,1
378f24fb-d496-4ff7-8afa-ea34895a0eb8,006c914c-37c0-4cb2-ad7d-d19f0a57cf1b,duration_min,number,,35.00000000,,,,HERA.SALON.SERVICE.DYN.DURATION.MIN.v1,DRAFT,0.0000,"{""validation_errors"": {""missing_fields"": {""entity_id"": false, ""field_name"": false, ""smart_code"": false, ""organization_id"": false}}}",invalid,2025-10-19 18:42:53.642824+00,2025-10-19 18:42:53.642824+00,1
