id,organization_id,entity_id,field_name,field_type,field_value_text,field_value_number,field_value_boolean,field_value_date,field_value_json,field_value_file_url,calculated_value,smart_code,smart_code_status,ai_confidence,ai_enhanced_value,ai_insights,validation_rules,validation_status,field_order,is_searchable,is_required,is_system_field,created_at,updated_at,created_by,updated_by,version
c2699423-ed9c-435b-9391-0664d9ad7c0b,00000000-0000-0000-0000-000000000000,b0305aa6-67ac-4618-b906-d41f9f3400bc,email,text,hera-service@hera.local,,,,,,,HERA.SALON.ENTITY.USER.EMAIL.v1,DRAFT,0.0000,,"{""validation_errors"": {""missing_fields"": {""entity_id"": false, ""field_name"": false, ""smart_code"": false, ""organization_id"": false}}}",{},invalid,1,t,f,f,2025-10-19 12:17:31.379691+00,2025-10-19 12:17:31.379691+00,cd8edfe6-3dc4-4792-bdd5-3ec8bf347bad,cd8edfe6-3dc4-4792-bdd5-3ec8bf347bad,1
3a800db5-d7b9-4b54-b846-f78d92041546,00000000-0000-0000-0000-000000000000,b0305aa6-67ac-4618-b906-d41f9f3400bc,full_name,text,HERA Service Actor,,,,,,,HERA.SALON.ENTITY.USER.FULL_NAME.v1,DRAFT,0.0000,,"{""validation_errors"": {""missing_fields"": {""entity_id"": false, ""field_name"": false, ""smart_code"": false, ""organization_id"": false}}}",{},invalid,1,t,f,f,2025-10-19 12:17:31.379691+00,2025-10-19 12:17:31.379691+00,cd8edfe6-3dc4-4792-bdd5-3ec8bf347bad,cd8edfe6-3dc4-4792-bdd5-3ec8bf347bad,1
848365ec-9e36-4c4f-933d-6752f48b8fec,00000000-0000-0000-0000-000000000000,f7569b9d-e091-4a63-8ad7-7f9f6fbc4582,email,text,Hairtalkz2022@gmail.com,,,,,,,HERA.SALON.ENTITY.USER.EMAIL.v1,DRAFT,0.0000,,"{""validation_errors"": {""missing_fields"": {""entity_id"": false, ""field_name"": false, ""smart_code"": false, ""organization_id"": false}}}",{},invalid,1,t,f,f,2025-10-19 13:20:11.245138+00,2025-10-19 13:20:11.245138+00,b0305aa6-67ac-4618-b906-d41f9f3400bc,b0305aa6-67ac-4618-b906-d41f9f3400bc,1
144d98f8-dba8-4ed2-857a-d497a56bc31d,00000000-0000-0000-0000-000000000000,f7569b9d-e091-4a63-8ad7-7f9f6fbc4582,full_name,text,Hairtalkz Owner,,,,,,,HERA.SALON.ENTITY.USER.FULL_NAME.v1,DRAFT,0.0000,,"{""validation_errors"": {""missing_fields"": {""entity_id"": false, ""field_name"": false, ""smart_code"": false, ""organization_id"": false}}}",{},invalid,1,t,f,f,2025-10-19 13:20:11.245138+00,2025-10-19 13:20:11.245138+00,b0305aa6-67ac-4618-b906-d41f9f3400bc,b0305aa6-67ac-4618-b906-d41f9f3400bc,1
0f0384d3-5941-48a6-8a3b-e3c94eeee98c,00000000-0000-0000-0000-000000000000,e0940f06-9286-47b2-8a07-88469e8c7091,email,text,hairtalkz01@gmail.com,,,,,,,HERA.SALON.ENTITY.USER.EMAIL.v1,DRAFT,0.0000,,"{""validation_errors"": {""missing_fields"": {""entity_id"": false, ""field_name"": false, ""smart_code"": false, ""organization_id"": false}}}",{},invalid,1,t,f,f,2025-10-19 13:20:38.972939+00,2025-10-19 13:20:38.972939+00,b0305aa6-67ac-4618-b906-d41f9f3400bc,b0305aa6-67ac-4618-b906-d41f9f3400bc,1
4380a2ac-aefd-4ea6-ba9c-6f849e1605f8,00000000-0000-0000-0000-000000000000,e0940f06-9286-47b2-8a07-88469e8c7091,full_name,text,Receptionist One,,,,,,,HERA.SALON.ENTITY.USER.FULL_NAME.v1,DRAFT,0.0000,,"{""validation_errors"": {""missing_fields"": {""entity_id"": false, ""field_name"": false, ""smart_code"": false, ""organization_id"": false}}}",{},invalid,1,t,f,f,2025-10-19 13:20:38.972939+00,2025-10-19 13:20:38.972939+00,b0305aa6-67ac-4618-b906-d41f9f3400bc,b0305aa6-67ac-4618-b906-d41f9f3400bc,1
157864de-b0ff-4a7c-8dac-72d5145fa7c0,00000000-0000-0000-0000-000000000000,51942b85-bdce-4fa5-9967-45662d918be5,email,text,hairtalkz02@gmail.com,,,,,,,HERA.SALON.ENTITY.USER.EMAIL.v1,DRAFT,0.0000,,"{""validation_errors"": {""missing_fields"": {""entity_id"": false, ""field_name"": false, ""smart_code"": false, ""organization_id"": false}}}",{},invalid,1,t,f,f,2025-10-19 13:21:17.328741+00,2025-10-19 13:21:17.328741+00,b0305aa6-67ac-4618-b906-d41f9f3400bc,b0305aa6-67ac-4618-b906-d41f9f3400bc,1
51d75618-e5fd-44f5-b75c-c97fb2bc733f,00000000-0000-0000-0000-000000000000,51942b85-bdce-4fa5-9967-45662d918be5,full_name,text,Receptionist Two,,,,,,,HERA.SALON.ENTITY.USER.FULL_NAME.v1,DRAFT,0.0000,,"{""validation_errors"": {""missing_fields"": {""entity_id"": false, ""field_name"": false, ""smart_code"": false, ""organization_id"": false}}}",{},invalid,1,t,f,f,2025-10-19 13:21:17.328741+00,2025-10-19 13:21:17.328741+00,b0305aa6-67ac-4618-b906-d41f9f3400bc,b0305aa6-67ac-4618-b906-d41f9f3400bc,1
3ce789fc-f65b-4b02-9111-1cda2053b12e,00000000-0000-0000-0000-000000000000,0fd83038-4e69-4f70-b5e4-517b7f0c5d94,email,text,demo@example.com,,,,null,,,HERA.SEC.USER.DYN.EMAIL.v1,DRAFT,0.0000,,"{""validation_errors"": {""missing_fields"": {""entity_id"": false, ""field_name"": false, ""smart_code"": false, ""organization_id"": false}}}",{},invalid,1,t,f,f,2025-10-21 17:00:50.497022+00,2025-10-21 17:00:50.497022+00,09b0b92a-d797-489e-bc03-5ca0a6272674,09b0b92a-d797-489e-bc03-5ca0a6272674,1
da4e9480-9a16-4a03-abd8-26d405393d2b,00000000-0000-0000-0000-000000000000,0fd83038-4e69-4f70-b5e4-517b7f0c5d94,supabase_uid,text,su-123,,,,null,,,HERA.SEC.USER.DYN.SUPABASE.v1,DRAFT,0.0000,,"{""validation_errors"": {""missing_fields"": {""entity_id"": false, ""field_name"": false, ""smart_code"": false, ""organization_id"": false}}}",{},invalid,1,t,f,f,2025-10-21 17:00:50.497022+00,2025-10-21 17:00:50.497022+00,09b0b92a-d797-489e-bc03-5ca0a6272674,09b0b92a-d797-489e-bc03-5ca0a6272674,1
